TRADE:
Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation
PORCENTA	numeric	no	9	11   	7    	yes	(n/a)	(n/a)	NULL
PORCENTI	numeric	no	9	11   	7    	yes	(n/a)	(n/a)	NULL
PORCENTU	numeric	no	9	11   	7    	yes	(n/a)	(n/a)	NULL
PORDETRA	numeric	no	5	6    	0    	yes	(n/a)	(n/a)	NULL
TOPDETRA	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
IDREQSOL	int	no	4	10   	0    	yes	(n/a)	(n/a)	NULL
ITEMICA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
ITEMIVA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
ITEMRETE	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
FORMULA	int	no	4	10   	0    	no	(n/a)	(n/a)	NULL
INTNIIF	bit	no	1	     	     	no	(n/a)	(n/a)	NULL
IPCONSUBEB	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
NCOSTO	numeric	no	13	20   	7    	no	(n/a)	(n/a)	NULL
NVALUNID	numeric	no	13	20   	7    	no	(n/a)	(n/a)	NULL
PLANEAR	numeric	no	13	20   	7    	yes	(n/a)	(n/a)	NULL
PRETENIVA	numeric	no	5	8    	4    	no	(n/a)	(n/a)	NULL
TARIVA	char	no	5	     	     	no	no	no	Modern_Spanish_CI_AS
VALORAIU	numeric	no	13	20   	7    	no	(n/a)	(n/a)	NULL
IDINTEGRA	char	no	40	     	     	no	no	no	Modern_Spanish_CI_AS
METRETIVA	char	no	1	     	     	no	no	no	Modern_Spanish_CI_AS
PORAYS	numeric	no	5	6    	2    	no	(n/a)	(n/a)	NULL
IMPCIGARRI	numeric	no	9	17   	2    	no	(n/a)	(n/a)	NULL
XNCOSTO	numeric	no	13	20   	7    	no	(n/a)	(n/a)	NULL
XNVALUNID	numeric	no	13	20   	7    	no	(n/a)	(n/a)	NULL
CTAVTANIIF	char	no	20	     	     	no	no	no	Modern_Spanish_CI_AS

MTPROCLI

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation
APELLIDO1	char	no	30	     	     	yes	no	yes	Modern_Spanish_CI_AS
APELLIDO2	char	no	30	     	     	yes	no	yes	Modern_Spanish_CI_AS
AUTORET	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
BANCO	char	no	9	     	     	yes	no	yes	Modern_Spanish_CI_AS
CALIFCALID	numeric	no	5	1    	0    	yes	(n/a)	(n/a)	NULL
CALIFTIEMP	numeric	no	5	1    	0    	yes	(n/a)	(n/a)	NULL
CANAL	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CDCIIU	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CIIU	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CIUDAD	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CIUDADPRV	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODALTERNO	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODDESFIN	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODDESFINP	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODIGOCTA	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODIGOCTAP	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODPOSTAL	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODPOSTALP	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODPRECIO	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODPRECIOP	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODRETE	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODRETEP	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODRUTA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
COL_DEL	char	no	100	     	     	yes	no	yes	Modern_Spanish_CI_AS
COMENTARIO	char	no	100	     	     	yes	no	yes	Modern_Spanish_CI_AS
CONTACTO	char	no	35	     	     	yes	no	yes	Modern_Spanish_CI_AS
CONTRIBUYE	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CTACTE	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CUPOCR	numeric	no	9	14   	2    	yes	(n/a)	(n/a)	NULL
CUPOCRP	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
CURP	char	no	50	     	     	yes	no	yes	Modern_Spanish_CI_AS
DESCCOMER	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
DESCCOMERP	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
DESCFINAN	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
DESCFINANP	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
DETALLE	text	no	16	     	     	no	(n/a)	(n/a)	Modern_Spanish_CI_AS
DIRECCION	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
EMAIL	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
EMAILP	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
ENTRECALLE	char	no	100	     	     	yes	no	yes	Modern_Spanish_CI_AS
ESCLIENTE	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
ESPROVEE	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
ESTRATO	numeric	no	5	1    	0    	yes	(n/a)	(n/a)	NULL
EXTERIOR	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
FECHAING	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECNAC	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
HABILITADO	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
IDENTIFICA	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
INTCAR	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
LOCAL	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
NIT	char	no	15	     	     	no	no	no	Modern_Spanish_CI_AS
NITSUCUR	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOMBRE	char	no	200	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOMBRE1	char	no	30	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOMBRE2	char	no	30	     	     	yes	no	yes	Modern_Spanish_CI_AS
NRORESOL	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
NUMCTA	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
PAGINAWEB	char	no	50	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASSWORD	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASSWPROV	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
PERIODOFAC	numeric	no	5	3    	0    	yes	(n/a)	(n/a)	NULL
PLAZO	numeric	no	5	3    	0    	yes	(n/a)	(n/a)	NULL
PLAZOP	numeric	no	5	3    	0    	yes	(n/a)	(n/a)	NULL
PORAIU	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PORAIUP	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PRETICA	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PRETICAP	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PRETIVA	numeric	no	5	7    	4    	yes	(n/a)	(n/a)	NULL
PRETIVAP	numeric	no	5	7    	3    	yes	(n/a)	(n/a)	NULL
REGSIMP	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
REPORTDC	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
RESPRETE	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
RETICA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
RETICAP	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
STADSINCRO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
SUCURSAL	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
TEL1	char	no	30	     	     	yes	no	yes	Modern_Spanish_CI_AS
TEL2	char	no	30	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOCAR	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOCLI	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOCTA	numeric	no	5	1    	0    	yes	(n/a)	(n/a)	NULL
TIPOCXP	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOIDEN	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOPER	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOPRV	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
VENDEDOR	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
ZONA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
PERSONANJ	numeric	no	5	1    	0    	yes	(n/a)	(n/a)	NULL
ISPROSPECT	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CLASE	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
IDCANALENT	int	no	4	10   	0    	yes	(n/a)	(n/a)	NULL
PAIS	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
AVALCOD	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
AVALDIREC	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
AVALNOMBRE	char	no	60	     	     	yes	no	yes	Modern_Spanish_CI_AS
AVALTEL	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CIUDADMX	char	no	40	     	     	yes	no	yes	Modern_Spanish_CI_AS
CONSUMIDOR	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CONTESP	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
DELEGACION	char	no	100	     	     	yes	no	yes	Modern_Spanish_CI_AS
ESMAQUILA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
ESTADOMX	char	no	100	     	     	yes	no	yes	Modern_Spanish_CI_AS
FECING	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECMOD	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
IDADJUNTOS	char	no	50	     	     	yes	no	yes	Modern_Spanish_CI_AS
INDEPENDIE	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
LOCALIDAD	char	no	40	     	     	yes	no	yes	Modern_Spanish_CI_AS
NROENTREGA	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
NROINTERNO	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
PAISMX	char	no	50	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASSWORDIN	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASSWORDMO	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIDENTI	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODDEPTO	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
ESDECLARA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
FACELECTRO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
NUMCUENTA	char	no	50	     	     	yes	no	yes	Modern_Spanish_CI_AS
PRETPERC	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PRETPERP	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
ESPERCAR	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
ESRESPCREE	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
ESRETCREE	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
NDIAGRACIA	int	no	4	10   	0    	yes	(n/a)	(n/a)	NULL
MEADENDA	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODCTANIIF	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CTANIIFPRV	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CLAVEPAGO	char	no	3	     	     	no	no	no	Modern_Spanish_CI_AS
MEDPAG	char	no	5	     	     	no	no	no	Modern_Spanish_CI_AS
CDUSOCFDI	char	no	10	     	     	no	no	no	Modern_Spanish_CI_AS
BANCOCLI	char	no	10	     	     	no	no	no	Modern_Spanish_CI_AS
EMAILCAR	char	no	250	     	     	no	no	no	Modern_Spanish_CI_AS
EMAILCXP	char	no	250	     	     	no	no	no	Modern_Spanish_CI_AS
COMPLECFDI	char	no	250	     	     	no	no	no	Modern_Spanish_CI_AS
habilprov	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL

MVBANCOS
Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation
BENEFICIA	char	no	35	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODCC	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODIGOCTA	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODINT	numeric	no	5	4    	0    	yes	(n/a)	(n/a)	NULL
CONTROL	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
CRUZADO	numeric	no	5	2    	0    	yes	(n/a)	(n/a)	NULL
DCTO	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
DETALLE	char	no	60	     	     	yes	no	yes	Modern_Spanish_CI_AS
FECHA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECHACGN	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECING	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECMOD	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
IDMVBANCOS	int	no	4	10   	0    	no	(n/a)	(n/a)	NULL
INTEGRADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
MARCAREG	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
NIT	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
OTRAMON	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
PASSWORDIN	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASSWORDMO	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
STADSINCRO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
TCAMBIO	numeric	no	13	20   	8    	yes	(n/a)	(n/a)	NULL
TIPOMVTO	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
VALOR	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
CODCTATRAS	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
CONSECUT	numeric	no	13	20   	0    	yes	(n/a)	(n/a)	NULL
DCTORIG	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
ESAUTCO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
IDPROPCON	int	no	4	10   	0    	yes	(n/a)	(n/a)	NULL
ORIGEN	char	no	3	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTO	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
INTIVA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
DCTONIIF	char	no	22	     	     	no	no	no	Modern_Spanish_CI_AS
DCTORECLAS	bit	no	1	     	     	no	(n/a)	(n/a)	NULL
DCTOREVER	char	no	22	     	     	no	no	no	Modern_Spanish_CI_AS
INTNIIF	bit	no	1	     	     	no	(n/a)	(n/a)	NULL
RECLASIFIC	bit	no	1	     	     	no	(n/a)	(n/a)	NULL
REVERSADO	bit	no	1	     	     	no	(n/a)	(n/a)	NULL
IDINTEGRA	char	no	40	     	     	no	no	no	Modern_Spanish_CI_AS
TCAMBIOMM	numeric	no	13	20   	8    	no	(n/a)	(n/a)	NULL
MECADORIG	text	no	16	     	     	no	(n/a)	(n/a)	Modern_Spanish_CI_AS
MECANCELA	text	no	16	     	     	no	(n/a)	(n/a)	Modern_Spanish_CI_AS
MEFALLO	bit	no	1	     	     	no	(n/a)	(n/a)	NULL
MEFECHAT	datetime	no	8	     	     	no	(n/a)	(n/a)	NULL
MENOCERSAT	char	no	30	     	     	no	no	no	Modern_Spanish_CI_AS
MESELLOCFD	text	no	16	     	     	no	(n/a)	(n/a)	Modern_Spanish_CI_AS
MESELLOSAT	text	no	16	     	     	no	(n/a)	(n/a)	Modern_Spanish_CI_AS
MEUUID	char	no	50	     	     	no	no	no	Modern_Spanish_CI_AS
MEUUIDAC	char	no	250	     	     	no	no	no	Modern_Spanish_CI_AS
MEVERSION	char	no	5	     	     	no	no	no	Modern_Spanish_CI_AS
MEXML	text	no	16	     	     	no	(n/a)	(n/a)	Modern_Spanish_CI_AS

MTBANCOS

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation
AUTORIZADO	char	no	60	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODIGOCTA	char	no	10	     	     	no	no	no	Modern_Spanish_CI_AS
DIGITOS	numeric	no	5	2    	0    	yes	(n/a)	(n/a)	NULL
FHAPERTURA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
GERENTE	char	no	35	     	     	yes	no	yes	Modern_Spanish_CI_AS
MONEDA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOMBRE	char	no	60	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOTA	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
NROCTA	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
OTRAMON	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
PROPOSITO	char	no	60	     	     	yes	no	yes	Modern_Spanish_CI_AS
SALINICIAL	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
STADSINCRO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
TIPOCONS	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOMVTO	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
ULTCONCIL	numeric	no	5	2    	0    	yes	(n/a)	(n/a)	NULL
CONSECUT	numeric	no	13	20   	0    	yes	(n/a)	(n/a)	NULL
CUENTA	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
ESAUTCO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CLAVEAGRUP	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CTANIIF	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
EXTRANJERO	bit	no	1	     	     	no	(n/a)	(n/a)	NULL
NIT	char	no	15	     	     	no	no	no	Modern_Spanish_CI_AS
